Date,Month,Hour,KWH_A
109/08/24,8,11,0.69747
109/08/25,8,22,0.96348
109/08/26,8,8,0.61328
109/08/27,8,9,0.6348
109/08/28,8,19,0.75778
109/08/29,8,11,1.42048
109/08/30,8,21,0.63225
109/08/31,8,22,0.61715
109/09/01,9,14,1.3686
109/09/02,9,19,1.5145
109/09/03,9,15,0.66735
109/09/04,9,15,0.92183
109/09/05,9,10,0.54463
109/09/06,9,22,0.72498
109/09/07,9,18,0.65285
109/09/08,9,13,0.97495
109/09/09,9,14,0.8372
109/09/10,9,20,0.86173
109/09/11,9,14,0.88683
109/09/12,9,17,0.79125
109/09/13,9,16,1.10385
109/09/14,9,11,0.6974
109/09/15,9,19,0.57798
109/09/16,9,19,1.017
109/09/17,9,12,0.9668
109/09/18,9,14,0.9274
109/09/19,9,20,0.9462
109/09/20,9,11,0.6396
109/09/21,9,18,0.51258
109/09/22,9,21,0.52208
109/09/23,9,19,0.64695
109/09/24,9,19,0.47993
109/09/25,9,14,0.50053
109/09/26,9,14,0.5157
109/09/27,9,12,0.5083
109/09/28,9,22,0.38363
109/09/29,9,21,0.44858
109/09/30,9,9,0.2921
109/10/01,10,20,0.5225
109/10/02,10,9,0.48105
109/10/03,10,16,0.24718
109/10/04,10,13,0.63008
109/10/05,10,22,0.50705
109/10/06,10,22,0.49423
109/10/07,10,19,0.56565
109/10/08,10,20,0.41865
109/10/09,10,14,0.5473
109/10/10,10,19,0.45413
109/10/11,10,18,0.59025
109/10/12,10,21,0.5636
109/10/13,10,20,1.1299
109/10/14,10,19,0.5294
109/10/15,10,21,0.44915
109/10/16,10,13,0.5641
109/10/17,10,0,0.3931
109/10/18,10,22,0.42125
109/10/19,10,18,0.36785
109/10/20,10,23,0.47615
109/10/21,10,19,0.57188
109/10/22,10,18,0.39708
109/10/23,10,22,0.37293
109/10/24,10,12,0.4227
109/10/25,10,21,0.42395
109/10/26,10,20,0.4618
109/10/27,10,22,0.43233
109/10/28,10,19,0.5684
109/10/29,10,22,0.39218
109/10/30,10,9,0.43518
109/10/31,10,0,0.26335
109/11/01,11,12,0.50888
109/11/02,11,22,0.5317
109/11/03,11,21,0.4016
109/11/04,11,20,0.41533
109/11/05,11,22,0.51158
109/11/06,11,19,0.51088
109/11/07,11,10,0.54855
109/11/08,11,10,0.43803
109/11/09,11,23,0.4418
109/11/10,11,23,0.35248
109/11/11,11,17,0.397
109/11/12,11,22,0.4175
109/11/13,11,18,0.50763
109/11/14,11,22,0.4329
109/11/15,11,11,0.52103
109/11/16,11,18,0.41018
109/11/17,11,18,0.49238
109/11/18,11,19,0.6392
109/11/19,11,19,0.5269
109/11/20,11,22,0.50308
109/11/21,11,22,0.52573
109/11/22,11,21,0.56218
109/11/23,11,22,0.45028
109/11/24,11,11,0.54418
109/11/25,11,19,0.544
109/11/26,11,22,0.58063
109/11/27,11,22,0.4225
109/11/28,11,17,0.49558
109/11/29,11,17,0.543
109/11/30,11,22,0.4412
109/12/01,12,11,0.4439
109/12/02,12,22,0.4434
109/12/03,12,22,0.40358
109/12/04,12,22,0.42533
109/12/05,12,17,0.89025
109/12/06,12,9,0.4156
109/12/07,12,21,0.4323
109/12/08,12,22,0.39818
109/12/09,12,19,0.37533
109/12/10,12,22,0.40758
109/12/11,12,23,0.44265
109/12/12,12,23,0.45073
109/12/13,12,18,0.4391
109/12/14,12,22,0.3821
109/12/15,12,23,0.3895
109/12/16,12,17,0.46645
109/12/17,12,23,0.41093
109/12/18,12,21,0.48318
109/12/19,12,22,0.3913
109/12/20,12,22,0.41925
109/12/21,12,22,0.35913
109/12/22,12,0,0.27268
109/12/23,12,18,0.33803
109/12/24,12,22,0.3671
109/12/25,12,14,0.31488
109/12/26,12,22,0.3428
109/12/27,12,22,0.4097
109/12/28,12,21,0.33038
109/12/29,12,20,0.50718
109/12/30,12,8,0.2736
